date,flood_label,predicted_probability,predicted_class_threshold_0.50
2014-12-10,0,0.000328953255932851,0
2015-01-20,0,0.001179557959199883,0
2015-02-15,0,0.00013803906040266156,0
2015-03-10,0,0.0002652973278607152,0
2015-06-10,0,0.9392005255902273,1
2016-01-15,0,0.004310800120460995,0
2016-03-05,0,0.00032896111559765044,0
2017-04-10,1,0.9351696227110293,1
2017-04-25,1,0.15513233180051753,0
2017-05-05,1,0.28941689955692634,0
2017-07-01,1,0.9447638132687448,1
2017-07-20,1,0.9510287594346553,1
2017-08-10,1,0.9912777185812851,1
2017-12-15,0,0.25713652982007473,0
2018-01-20,0,0.07365054820629463,0
2018-02-15,0,0.00012647082621697336,0
2018-03-10,0,0.0003567589446902275,0
2018-04-20,1,0.9125219973139479,1
2018-05-10,0,0.2805962076899624,0
2018-06-15,0,0.8200038134342251,1
2018-07-01,1,0.9725364867981459,1
2018-07-20,0,0.4416954105866484,0
2018-08-15,0,0.9147985260975775,1
2018-12-10,0,0.07423088985279806,0
2019-01-15,0,0.0003450033867904054,0
2019-02-20,0,0.00925409179857175,0
2019-03-15,0,0.03511984248506835,0
2019-04-20,1,0.9473325615462405,1
2019-07-10,1,0.7402095208508648,1
2019-07-25,1,0.8247628007453218,1
2019-08-10,1,0.5052222031307594,1
2019-09-01,0,0.05265561272876327,0
2019-12-10,0,0.006963796311383278,0
2020-01-20,0,0.00046469622124228416,0
2020-02-15,0,0.00017785887757781893,0
2020-03-10,0,0.0019667041491361233,0
2020-07-10,1,0.9531877486985949,1
2020-07-25,1,0.972973089466854,1
2020-08-10,1,0.9538220545940473,1
2020-09-01,1,0.975867673452083,1
2020-12-15,0,0.00028286382439546287,0
2021-01-20,0,0.013518806080682266,0
2021-02-15,0,0.00016039918790897243,0
2021-03-10,0,0.18640977583589785,0
2021-04-15,1,0.9754634419691761,1
2021-06-15,1,0.5569313185618717,1
2021-07-10,1,0.9935565112557664,1
2021-08-05,1,0.8433834959350467,1
2021-09-10,0,0.011239616650139842,0
2022-03-28,1,0.6402441302404731,1
2022-04-10,1,0.6451828702427085,1
2022-04-25,1,0.1261545678710856,0
2022-06-15,1,0.7171534236581825,1
2022-07-10,1,0.9395060618686237,1
2022-08-05,1,0.9895702380354146,1
2022-09-10,0,0.1804583383901551,0
2022-10-20,0,0.065970199156325,0
2022-12-10,0,0.013301785068539303,0
2023-01-20,0,0.0001677584706935987,0
2023-02-15,0,0.0001875057496363297,0
2023-05-10,0,0.012382992058671362,0
2023-06-15,1,0.9794680805511644,1
2023-07-01,0,0.9984171760676419,1
2023-08-10,1,0.9772797199352181,1
2023-09-05,0,0.09921050029696947,0
2023-11-10,0,0.04603974671382627,0
2023-12-10,0,0.03603263464975683,0
2024-01-20,0,0.00020639599824789912,0
2024-02-15,0,0.0002713818079290328,0
2024-03-10,0,0.00020912932814098895,0
2024-04-05,0,0.15846236412713322,0
2024-04-25,1,0.849520787229281,1
2024-06-20,1,0.4944669985017302,0
2024-07-10,1,0.8762461753202041,1
2024-08-01,1,0.8549171876033487,1
2024-09-10,0,0.013775648323730951,0
2024-10-15,0,0.00949984992834681,0
