VV,VH,rainfall,soil_moisture,temp,wind,slope,flood
-17.265355580665677,-24.460333977324648,120.0,24.850279187768454,29.0,12.0,1.9,1
-17.231829703621955,-26.406317639856024,120.0,25.099372406316004,29.0,12.0,1.9,1
-16.496445173005192,-24.06017953077459,120.0,24.964920496552942,29.0,12.0,1.9,1
-17.124153204268712,-23.294929104548316,120.0,25.092162549980294,29.0,12.0,1.9,1
-21.69901078773277,-27.58212520794012,120.0,38.0,29.0,12.0,1.9,1
-17.80357038563153,-28.367274024725976,120.0,38.0,29.0,12.0,1.9,1
-12.092227123541415,-20.249524620092046,120.0,6.178600301102895,29.0,12.0,1.9,0
-10.581579913654332,-18.822986782468536,120.0,6.224836024084712,29.0,12.0,1.9,0
-10.991846762017373,-16.962569049585273,120.0,5.196561986111045,29.0,12.0,1.9,0
-12.567675301253772,-21.26748187485467,120.0,6.766373589271453,29.0,12.0,1.9,0
-11.96216371175195,-17.683095024209326,120.0,38.0,29.0,12.0,1.9,0
-10.020526903598714,-18.39558495540423,120.0,38.0,29.0,12.0,1.9,0
